delta_time,delta_radius,E_pro,E_del,R_prompt,R_delayed,,,#NOME?
252534,1015.952759,2.287233829,2.197533846,17318.61523,16664.08203,,,
14,19719.31055,2.287233829,2.66693759,17318.61523,8603.373047,,,
372753,19869.32422,2.287233829,2.264396191,17318.61523,8619.1875,,,
401372,33662.58594,2.287233829,2.267821312,17318.61523,17289.28125,,,
14,21933.96875,2.287233829,5.003486156,17318.61523,8358.339844,,,
392253,21902.10156,2.287233829,2.223690748,17318.61523,8488.202148,,,
20,21388.41016,2.287233829,2.25007534,17318.61523,9265.632813,,,
189207,20761.80273,2.287233829,2.261403799,17318.61523,9156.802734,,,
22,15016.28027,2.287233829,2.010918379,17318.61523,5454.300293,,,
7577,15721.29688,2.287233829,2.257512808,17318.61523,5020.427246,,,
70878,14457.81836,2.287233829,2.212059259,17318.61523,15977.00879,,,
18,19820.57227,2.287233829,2.97796011,17318.61523,8366.670898,,,
107212,19854.41406,2.287233829,2.25443387,17318.61523,8595.729492,,,
8,19633.80273,2.287233829,4.939450264,17318.61523,13227.09277,,,
179025,19645.875,2.287233829,2.261620522,17318.61523,12833.94727,,,
281459,8817.169922,2.287233829,2.23467207,17318.61523,15571.19727,,,
6,27045.89063,2.287233829,1.343581676,17318.61523,15546.54004,,,
244166,26947.93164,2.287233829,2.33122015,17318.61523,15327.44922,,,
510860,6769.700195,2.287233829,2.198475838,17318.61523,12032.43066,,,
2,30950.76172,2.287233829,3.947373867,17318.61523,14080.4707,,,
137130,31074.61719,2.287233829,2.186290979,17318.61523,14182.50098,,,
1,14584.92383,2.287233829,2.578966379,17318.61523,16461.23633,,,
87693,14346.96191,2.287233829,2.268290281,17318.61523,16412.27344,,,
2,24464.15625,2.287233829,3.435543537,17318.61523,12466.92188,,,
59712,24474.30078,2.287233829,2.348211765,17318.61523,12427.37012,,,
1,5580.311523,2.287233829,1.66671133,17318.61523,15288.20996,,,
89834,5587.355469,2.287233829,2.305196285,17318.61523,15122.22852,,,
2,10065.1543,2.287233829,3.555091381,17318.61523,13852.52832,,,
5071,9981.845703,2.287233829,2.257372856,17318.61523,13855.58789,,,
319463,24980.2168,2.287233829,2.22774601,17318.61523,15806.14746,,,
288353,30602.50586,2.287233829,2.171174288,17318.61523,14102.22656,,,
10,31426.94141,2.287233829,3.067366838,17318.61523,16927.03125,,,
10329,31331.07617,2.287233829,2.173513412,17318.61523,16871.86914,,,
3,33823.70313,2.287233829,5.32038641,17318.61523,16848.67188,,,
436193,33588.21875,2.287233829,2.204809427,17318.61523,16636.25391,,,
222134,11744.23535,2.287233829,2.257804394,17318.61523,13572.40625,,,
16,17284.55859,2.287233829,1.674650192,17318.61523,17125.49414,,,
118475,17249.43555,2.287233829,2.195000887,17318.61523,17163.20117,,,
141314,6706.161133,2.287233829,2.251981735,17318.61523,14433.41895,,,
473322,32895.32031,2.287233829,2.268759251,17318.61523,16005.02148,,,
120219,19123.35156,2.197533846,2.264396191,16664.08203,8619.1875,,,
148838,32868.39844,2.197533846,2.267821312,16664.08203,17289.28125,,,
139719,21304.56836,2.197533846,2.223690748,16664.08203,8488.202148,,,
28925,8614.189453,2.197533846,2.23467207,16664.08203,15571.19727,,,
258326,6392.060547,2.197533846,2.198475838,16664.08203,12032.43066,,,
66929,24007.85938,2.197533846,2.22774601,16664.08203,15806.14746,,,
35819,29928.32617,2.197533846,2.171174288,16664.08203,14102.22656,,,
183659,32978.28516,2.197533846,2.204809427,16664.08203,16636.25391,,,
859472,27734.74414,2.197533846,2.205511332,16664.08203,15780.62695,,,
220788,32229.37109,2.197533846,2.268759251,16664.08203,16005.02148,,,
105088,58.07221603,5.281241894,2.306745529,16185.61621,16167.33496,,,
45312,369.1511536,5.366499901,2.248626947,15036.12988,15071.50684,,,
189952,325.3013,5.040537357,2.258362293,6550.39502,6718.172852,,,
204800,58.48893738,2.708384991,0.369329274,17400,17382.5625,,,
92160,96.54692078,2.494565964,2.327474117,16449.92383,16421.10742,,,
71680,813.6559448,7.851796627,2.275236368,8281.443359,7944.800293,,,
174080,133.3019562,0.968762517,2.254441738,14866.21191,14982.66504,,,
350208,249.6283112,3.984763384,2.268287897,16331.9834,16552.80273,,,
240640,628.9122314,3.056127548,2.198819399,13565.87109,13812.23633,,,
146432,266.131958,2.91003418,2.229990005,14779.62695,14872.17383,,,
268288,69.73271942,3.167692184,2.219563484,8095.722656,8052.501465,,,
391168,183.754425,4.827205181,2.289177418,15188.0293,15139.50781,,,
167936,266.0549316,1.160512328,2.24741292,14040.14551,14016.33887,,,
8192,374.5539856,3.043258905,2.227557182,10037,10162.04883,,,
53248,457.8508301,3.411373138,2.224439383,7706.072754,7496.093262,,,
200704,173.6077576,1.94792068,2.248451233,14154.96484,14247.77051,,,
20480,76.11784363,2.872286797,2.242836714,14017.9873,13977.47168,,,
30720,913.2720337,5.662217617,2.291558504,10623.45801,10996.51758,,,
229376,574.2186279,3.319837809,2.277765989,8341.568359,7771.874512,,,
497664,219.8380127,4.110084057,2.107473135,17400,17400,,,
4096,349.965332,2.485070944,2.257797718,17095.79102,17269.10352,,,
292864,432.6939697,1.901894808,2.230060101,13224.3584,12832.22559,,,
32768,710.0576172,2.449253321,2.201598883,14498.93555,14566.80078,,,
323584,120.6558762,3.563052177,2.251162529,16423.4375,16448.16602,,,
45056,526.2324829,2.816943645,2.220836163,14147.19922,14267.69141,,,
217088,460.2592773,2.485345125,2.254714012,11385.96875,11555.61133,,,
32768,527.8082275,2.202126026,2.226046801,11379.50586,11299.34668,,,
32768,257.5466614,3.311442137,2.162677526,12111.83203,11911.2334,,,
180224,464.6939087,5.908007622,2.239095688,15551.65625,15554.53027,,,
184320,469.5524902,6.428399563,2.21445775,13890.93848,13968.16211,,,
57344,76.60351563,2.802706003,2.352483273,7424.603027,7377.559082,,,
143360,93.38132477,3.321341038,2.180905342,13905.52148,13930.15625,,,
135168,373.8670654,4.742401123,2.212310553,14789.96289,15012.92969,,,
294912,285.4438782,5.027532101,2.271817684,17319.88672,17374.66992,,,
114688,194.5727539,3.935352087,2.175367832,16422.42578,16347.2334,,,
569344,499.4880676,1.893916368,2.302320004,8738.025391,8968.761719,,,
208896,141.504425,4.892594814,2.23451829,10613.10059,10541.35645,,,
196608,189.6904602,6.063527107,2.266093731,12602.64941,12659.09277,,,
73728,267.8232117,1.519515872,2.303781986,16585.78906,16335.44531,,,
102400,182.015976,2.181108713,2.267576933,12559.05762,12638.81152,,,
282624,924.8009644,4.486341953,2.328574896,6710.303223,7037.998535,,,
90112,350.2866211,4.4171772,2.211667299,8770.289063,8949.158203,,,
